timestamp|old_workspace_path|old_workspace_type|old_dataset_name|old_dataset_type|new_workspace_path|new_workspace_type|new_dataset_name|new_dataset_type|replace_workspace_path|replace_workspace_type|replace_dataset_name|replace_dataset_type|replacement_layerfile_path|remarks
2017-12-07 08:00:00|AHAP\ANIA||||Extras\AKR\ANIA\AHAP|||||||||
2017-12-07 08:00:00|Albers\base\biologic\statewid||ak2000_ea||AKR\Statewide\biologic\Landcover|||||||||
2017-12-07 08:00:00|Albers\base\biologic\statewid||AKNHP_VEG_NorWestInt27oct2013_ra.img||AKR\Statewide\biologic\Landcover|||||||||
2017-12-07 08:00:00|Albers\base\biologic\statewid||AKNHP_VEG_SoAleu12Apr2013_ra.img||AKR\Statewide\biologic\Landcover|||||||||
2017-12-07 08:00:00|Albers\base\biologic\statewid\AK_NLCD.gdb||||AKR\Statewide\biologic\Landcover\AK_NLCD.gdb|||||||||
2017-12-07 08:00:00|Too few columns||||new workspace|||||||
2017-12-07 08:00:00|Too many columns||||new workspace|||||||||||
not a timestamp|Bad timestamp||||workspace|||||||||
2017-12-07 08:00:00|Same timestamp is ok||||new workspace|||||||||
2018-12-07 08:00:00|Increasing timestamp is ok||||new workspace|||||||||
2017-12-07 08:00:00|Decreasing timestamp is bad||||new workspace|||||||||
2019-05-09 08:00:00|||||No Old Workspace Path|||||||||
2019-05-09 08:00:00|\\UNC\paths\not\allowed (old||||new workspace|||||||||
2019-05-09 08:00:00|X:\Drive\paths\not\allowed (old)||||new workspace|||||||||
2019-05-09 08:00:00|/absolute/unix/path (old)||||new workspace|||||||||
2019-05-09 08:00:00|\absolute\DOS\path (old)||||new workspace|||||||||
2019-05-09 08:00:00|.\relative\DOS\path (old)||||new workspace|||||||||
2019-05-09 08:00:00|..\relative\DOS\path (old)||||new workspace|||||||||
2019-05-09 08:00:00|Good Data Source Type (old)|||esriDTFeatureClass|new workspace|||||||||
2019-05-09 08:00:00|Bad Data Source Type (old)|||notDataType|new workspace|||||||||
2019-05-09 08:00:00|Good Prog ID (old)|esriDataSourcesGDB.AccessWorkspaceFactory|||new workspace|||||||||
2019-05-09 08:00:00|Bad Prog ID (old)|notProgID|||new workspace|||||||||
2019-05-09 08:00:00|UNC\paths\not\allowed (new)||||\\UNC\paths\not\allowed|||||||||
2019-05-09 08:00:00|XDrive\paths\not\allowed (new)||||X:\Drive\paths\not\allowed|||||||||
2019-05-09 08:00:00|absolute unix path (new)||||/absolute/unix/path|||||||||
2019-05-09 08:00:00|absolute\DOS\path (new)||||\absolute\DOS\path|||||||||
